id	audio	n_frames	sr	src_text	tgt_text
common_voice_en_78232	common_voice_en_78232.mp3	46080	48000	i wish you wouldn't	Ich wünschte, du ließest es bleiben.
common_voice_en_544890	common_voice_en_544890.mp3	51840	48000	all the best	Schöne Grüße.
common_voice_en_86005	common_voice_en_86005.mp3	51840	48000	wild-goose chase	Jagd auf Wildgänse
common_voice_en_557962	common_voice_en_557962.mp3	55296	48000	he's on the telephone	Am Telefon ist er.
common_voice_en_552064	common_voice_en_552064.mp3	55296	48000	where do you come from	Woher kommst du?
common_voice_en_513863	common_voice_en_513863.mp3	55296	48000	they'll take care of it	Sie kümmern sich drum.
common_voice_en_652285	common_voice_en_652285.mp3	55296	48000	then whose is it	Wem gehört sie dann?
common_voice_en_544873	common_voice_en_544873.mp3	56448	48000	they'll take care of it	Sie kümmern sich drum.
common_voice_en_153795	common_voice_en_153795.mp3	57600	48000	we can both hear	Wir können beide hören.
common_voice_en_221976	common_voice_en_221976.mp3	57600	48000	one that will write	Eine, die schreiben wird.
common_voice_en_35570	common_voice_en_35570.mp3	57600	48000	i tore him apart	Ich habe ihn zerrissen!
common_voice_en_532793	common_voice_en_532793.mp3	57600	48000	high voltage	Hochspannung!
common_voice_en_3115	common_voice_en_3115.mp3	57600	48000	you have no children	Sie sind kinderlos.
common_voice_en_121676	common_voice_en_121676.mp3	57600	48000	join the club	Tritt dem Club bei.
common_voice_en_121866	common_voice_en_121866.mp3	57600	48000	it's on the level	Es ist die reine Wahrheit.
common_voice_en_121955	common_voice_en_121955.mp3	57600	48000	is it a good job	Ist es ein guter Job?
common_voice_en_212185	common_voice_en_212185.mp3	58752	48000	you think you did	Du denkst du hast es getan.
common_voice_en_78090	common_voice_en_78090.mp3	58752	48000	this is christmas eve	Heute ist Heiligabend.
common_voice_en_499018	common_voice_en_499018.mp3	58752	48000	catch a cold	Sich erkälten
common_voice_en_560230	common_voice_en_560230.mp3	59904	48000	you think you did	Du denkst du hast es getan.
common_voice_en_121653	common_voice_en_121653.mp3	59904	48000	he's in the desk	Er ist im Schreibtisch.
common_voice_en_17724245	common_voice_en_17724245.mp3	61056	48000	you don't say so	Was Sie nicht sagen!
common_voice_en_17704790	common_voice_en_17704790.mp3	61056	48000	as sure as i am alive	So sicher, wie ich am Leben bin.
common_voice_en_662155	common_voice_en_662155.mp3	61056	48000	what else are you	Was sind Sie denn sonst noch?
common_voice_en_78162	common_voice_en_78162.mp3	61056	48000	i've got to see him	Ich muss ihn sehen.
common_voice_en_652792	common_voice_en_652792.mp3	61056	48000	try it again	Versuche es wieder.
common_voice_en_652233	common_voice_en_652233.mp3	61056	48000	what did you have	Was hatten Sie?
common_voice_en_586892	common_voice_en_586892.mp3	61056	48000	we want to see you	Wir wollen dich sehen.
common_voice_en_499216	common_voice_en_499216.mp3	61056	48000	swift as a shadow	Schnell wie ein Schatten
common_voice_en_646090	common_voice_en_646090.mp3	62208	48000	please let me come in	Bitte lassen Sie mich eintreten.
common_voice_en_560574	common_voice_en_560574.mp3	63360	48000	join the club	Tritt dem Club bei.
common_voice_en_553632	common_voice_en_553632.mp3	63360	48000	what's the matter with him	Was ist mit ihm los?
common_voice_en_9331	common_voice_en_9331.mp3	63360	48000	wait a minute	Warte kurz.
common_voice_en_511623	common_voice_en_511623.mp3	63360	48000	i have a pet spider	Ich habe eine Spinne als Haustier.
common_voice_en_652316	common_voice_en_652316.mp3	63360	48000	why didn't they wake me	Warum haben sie mich nicht geweckt?
common_voice_en_586855	common_voice_en_586855.mp3	63360	48000	is it chillier here	Ist es hier kühler
common_voice_en_74391	common_voice_en_74391.mp3	64512	48000	what's for dinner tonight	Was gibt es heute Abend zu essen?
common_voice_en_207103	common_voice_en_207103.mp3	64512	48000	in a pickle	In der Klemme.
common_voice_en_652236	common_voice_en_652236.mp3	64512	48000	full circle	Voller Kreis
common_voice_en_17690113	common_voice_en_17690113.mp3	64512	48000	have i offended you	Habe ich dich belogen?
common_voice_en_122062	common_voice_en_122062.mp3	64512	48000	all the best	Schöne Grüße.
common_voice_en_17570924	common_voice_en_17570924.mp3	65664	48000	between their teeth	Zwischen den Zähnen.
common_voice_en_121928	common_voice_en_121928.mp3	65664	48000	and up a dime	Und einen Cent mehr.
common_voice_en_657796	common_voice_en_657796.mp3	66816	48000	keep him in here	Behalten Sie ihn hier drin!
common_voice_en_557958	common_voice_en_557958.mp3	66816	48000	i think it is	Ich denke, das ist es.
common_voice_en_577524	common_voice_en_577524.mp3	66816	48000	can i help you	Kann ich Ihnen helfen?
common_voice_en_209382	common_voice_en_209382.mp3	66816	48000	now listen to me	Jetzt hör mir zu.
common_voice_en_510764	common_voice_en_510764.mp3	66816	48000	people walking	Menschen beim Spazierengehen.
common_voice_en_551130	common_voice_en_551130.mp3	66816	48000	catch a cold	Sich erkälten
common_voice_en_676828	common_voice_en_676828.mp3	66816	48000	but who asked him	Aber wer fragte ihn?
common_voice_en_676857	common_voice_en_676857.mp3	66816	48000	is it a good job	Ist es ein guter Job?
common_voice_en_141277	common_voice_en_141277.mp3	66816	48000	but who asked him	Aber wer fragte ihn?
common_voice_en_141325	common_voice_en_141325.mp3	66816	48000	can i help you	Kann ich Ihnen helfen?
common_voice_en_17383974	common_voice_en_17383974.mp3	66816	48000	she did not answer	Sie hat nicht geantwortet.
common_voice_en_646223	common_voice_en_646223.mp3	66816	48000	it takes time of course	Es braucht natürlich Zeit.
common_voice_en_560247	common_voice_en_560247.mp3	67968	48000	the one in there	Der da drinnen.
common_voice_en_121816	common_voice_en_121816.mp3	67968	48000	that's what i mean	Genau das meine ich.
common_voice_en_58011	common_voice_en_58011.mp3	67968	48000	you're far too valuable	Sie sind viel zu wertvoll!
common_voice_en_665708	common_voice_en_665708.mp3	69120	48000	how about that check	Wie sieht es mit diesem Scheck aus?
common_voice_en_17724246	common_voice_en_17724246.mp3	69120	48000	money makes the mare to go	Geld regiert die Welt.
common_voice_en_17760561	common_voice_en_17760561.mp3	69120	48000	so far so good	So weit so gut.
common_voice_en_552062	common_voice_en_552062.mp3	69120	48000	in my heart of hearts	Im Herzen meines Herzens
common_voice_en_79988	common_voice_en_79988.mp3	69120	48000	what else are you	Was sind Sie denn sonst noch?
common_voice_en_610152	common_voice_en_610152.mp3	69120	48000	i can see that	Das kann ich sehen.
common_voice_en_513892	common_voice_en_513892.mp3	69120	48000	maybe the water was too hot	Vielleicht war das Wasser zu heiß.
common_voice_en_652033	common_voice_en_652033.mp3	69120	48000	but a lovely chap	Aber ein toller Kerl!
common_voice_en_17733774	common_voice_en_17733774.mp3	69120	48000	it was too late	Es war zu spät.
common_voice_en_18261292	common_voice_en_18261292.mp3	69120	48000	the clothes were torn	Die Kleidung war zerrissen.
common_voice_en_51193	common_voice_en_51193.mp3	69120	48000	you think you did	Du denkst du hast es getan.
common_voice_en_174905	common_voice_en_174905.mp3	70272	48000	i'll call the police	Ich werde die Polizei rufen.
common_voice_en_78341	common_voice_en_78341.mp3	70272	48000	just step on it	Geben Sie einfach Gas.
common_voice_en_652062	common_voice_en_652062.mp3	70272	48000	i'm on the job	Ich bin bei der Arbeit!
common_voice_en_121732	common_voice_en_121732.mp3	70272	48000	where do you come from	Woher kommst du?
common_voice_en_50119	common_voice_en_50119.mp3	70272	48000	join the club	Tritt dem Club bei.
common_voice_en_158533	common_voice_en_158533.mp3	71424	48000	now you got me	Jetzt haben Sie mich.
common_voice_en_165601	common_voice_en_165601.mp3	71424	48000	don't mind the colonel	Kümmern Sie sich nicht um den Colonel.
common_voice_en_12501	common_voice_en_12501.mp3	71424	48000	will it snow in granbury	Wird es heute in Granbury schneien?
common_voice_en_50786	common_voice_en_50786.mp3	71424	48000	never give up	Niemals aufgeben.
common_voice_en_51196	common_voice_en_51196.mp3	71424	48000	try it again	Versuche es wieder.
common_voice_en_618338	common_voice_en_618338.mp3	72576	48000	what do they want	Was wünschen sie?
common_voice_en_212176	common_voice_en_212176.mp3	72576	48000	do you know ahmed	Kennen Sie Ahmed?
common_voice_en_52902	common_voice_en_52902.mp3	72576	48000	never give up	Niemals aufgeben.
common_voice_en_112667	common_voice_en_112667.mp3	72576	48000	keep him in here	Behalten Sie ihn hier drin!
common_voice_en_184932	common_voice_en_184932.mp3	72576	48000	when did you get back	Wann bist du zurückgekommen?
common_voice_en_74396	common_voice_en_74396.mp3	72576	48000	got to get some practice	Wir müssen etwas üben.
common_voice_en_513869	common_voice_en_513869.mp3	72576	48000	because i don't love him	Weil ich ihn nicht liebe.
common_voice_en_18401	common_voice_en_18401.mp3	72576	48000	a boy surfs	Ein Junge surft.
common_voice_en_649393	common_voice_en_649393.mp3	72576	48000	beggar all description	Jeder Beschreibung spotten
common_voice_en_649517	common_voice_en_649517.mp3	72576	48000	'tis high time	'S ist höchste Zeit.
common_voice_en_17385218	common_voice_en_17385218.mp3	72576	48000	so far so good	So weit so gut.
common_voice_en_662135	common_voice_en_662135.mp3	72576	48000	they'll believe him	Sie werden ihm glauben.
common_voice_en_662147	common_voice_en_662147.mp3	72576	48000	all the best	Schöne Grüße.
common_voice_en_121103	common_voice_en_121103.mp3	72576	48000	can i help you	Kann ich Ihnen helfen?
common_voice_en_78413	common_voice_en_78413.mp3	72576	48000	i feel so good i could spit	So gut fühle ich mich, dass ich spucken könnte.
common_voice_en_650586	common_voice_en_650586.mp3	72576	48000	hey foxy	Hallo Fuchs!
common_voice_en_559527	common_voice_en_559527.mp3	72576	48000	i did not know	Das wusste ich nicht.
common_voice_en_559533	common_voice_en_559533.mp3	72576	48000	high voltage	Hochspannung!
common_voice_en_673856	common_voice_en_673856.mp3	72576	48000	i'm sure you haven't any	Ich bin sicher, Sie haben keine.
common_voice_en_17279690	common_voice_en_17279690.mp3	72576	48000	capital town	Hauptstadt.
common_voice_en_17684941	common_voice_en_17684941.mp3	72576	48000	what did you think	Was dachtest du?
